time,pitch,roll,heading,aileronInput,elevatorInput,Baro_altitude,Baro_vertical_speed,Baro_temperature,GPS_locked,GPS_coord_x,GPS_coord_y,GPS_altitude,GPS_heading,GPS_speed,GPS_satellites,aileronTrim,elevatorTrim
21.851,4.81,137.5,194.31,-1.0,0.0,16.31,0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
22.051,4.81,137.5,194.31,-1.0,0.0,16.33,0.04,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
22.251,4.81,137.5,194.31,-1.0,0.0,16.33,0.03,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
22.451,4.81,137.5,194.31,-1.0,0.0,16.35,0.04,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
22.651,4.81,137.5,194.31,-1.0,0.0,16.35,0.04,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
22.851,4.81,137.5,194.31,-1.0,0.0,16.39,0.06,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
23.051,4.81,137.5,194.31,-1.0,0.0,16.39,0.05,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
23.251,4.81,137.5,194.31,-1.0,0.0,16.37,0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
23.451,4.81,137.5,194.31,-1.0,0.0,16.39,0.04,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
23.651,4.81,137.5,194.31,-1.0,0.0,16.42,0.05,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
23.851,4.81,137.5,194.31,-1.0,0.0,16.38,0.01,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
24.051,4.81,137.5,194.31,-1.0,0.0,16.33,-0.04,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
24.251,4.81,137.5,194.31,-1.0,0.0,16.27,-0.09,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
24.451,4.81,137.5,194.31,-1.0,0.0,16.23,-0.11,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
24.651,4.81,137.5,194.31,-1.0,0.0,16.28,-0.04,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
24.851,4.81,137.5,194.31,-1.0,0.0,16.28,-0.04,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
25.051,4.81,137.5,194.31,-1.0,0.0,16.3,-0.01,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
